sku,name,short_description,description,brand,mfn,stock,list_price,market_price,vendor_cost,special_price,weight,length,width,height,google_category,vendor_category,store_category,vendor_subcategory_1,vendor_subcategory_2,vendor_subcategory_3,vendor_subcategory_4,store_subcategory_1,store_subcategory_2,store_subcategory_3,store_subcategory_4,published,featured,visibility,vendor_id,meta_title,meta_description,meta_keywords
SKU-0011,Lightweight Smartphone 11,A high-quality smartphone with lightweight features.,This is a detailed description for the new Lightweight Smartphone 11 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,56,269.78,285.58,197.62,230.35,4.79,6.44,9.67,14.25,Electronics > Gaming,Gaming,Electronics,PC Gaming,PC Gaming,,,PC Gaming,PC Gaming,,,0,1,private,VEND005,Lightweight Smartphone 11 | ElectroWorks,Discover the new Lightweight Smartphone 11 from ElectroWorks. Perfect for your needs.,"smartphone, lightweight, electroworks, electronics"
SKU-0012,Ergonomic Drone 12,A high-quality drone with ergonomic features.,This is a detailed description for the new Ergonomic Drone 12 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,63,228.44,272.64,139.34,209.98,3.69,46.03,39.04,6.27,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Laptops,Tablets,Tablets,,Laptops,Tablets,Tablets,,0,1,private,VEND005,Ergonomic Drone 12 | DigitalPrime,Discover the new Ergonomic Drone 12 from DigitalPrime. Perfect for your needs.,"drone, ergonomic, digitalprime, electronics"
SKU-0013,Lightweight Smartphone 13,A high-quality smartphone with lightweight features.,This is a detailed description for the new Lightweight Smartphone 13 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,26,1996.17,2293.32,1268.5,1807.44,2.49,48.9,27.64,6.93,Electronics > Gaming,Gaming,Electronics,Consoles,PC Gaming,,,Consoles,PC Gaming,,,0,0,private,VEND003,Lightweight Smartphone 13 | TechCorp,Discover the new Lightweight Smartphone 13 from TechCorp. Perfect for your needs.,"smartphone, lightweight, techcorp, electronics"
SKU-0014,Sleek Monitor 14,A high-quality monitor with sleek features.,This is a detailed description for the new Sleek Monitor 14 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,28,984.04,1162.15,646.68,917.89,3.42,15.95,35.99,13.02,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Tablets,Laptops,Tablets,,Tablets,Laptops,Tablets,,0,0,private,VEND004,Sleek Monitor 14 | GlobalTech,Discover the new Sleek Monitor 14 from GlobalTech. Perfect for your needs.,"monitor, sleek, globaltech, electronics"
SKU-0015,Waterproof E-Reader 15,A high-quality e-reader with waterproof features.,This is a detailed description for the new Waterproof E-Reader 15 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,37,271.2,312.07,194.63,248.42,0.41,20.03,16.58,10.35,Electronics > Wearable Technology,Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,,1,0,public,VEND001,Waterproof E-Reader 15 | ElectroWorks,Discover the new Waterproof E-Reader 15 from ElectroWorks. Perfect for your needs.,"e-reader, waterproof, electroworks, electronics"
SKU-0016,Wireless Drone 16,A high-quality drone with wireless features.,This is a detailed description for the new Wireless Drone 16 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,117,1824.46,1978.91,1328.15,1590.26,0.84,44.52,32.07,13.44,Electronics > Audio,Audio,Electronics,Speakers,Speakers,,,Speakers,Speakers,,,1,1,public,VEND004,Wireless Drone 16 | TechCorp,Discover the new Wireless Drone 16 from TechCorp. Perfect for your needs.,"drone, wireless, techcorp, electronics"
SKU-0017,High-Resolution Headphones 17,A high-quality headphones with high-resolution features.,This is a detailed description for the new High-Resolution Headphones 17 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,52,690.63,820.31,534.6,607.39,0.54,17.06,29.18,12.36,Electronics > Audio,Audio,Electronics,Headphones,Speakers,,,Headphones,Speakers,,,0,0,private,VEND001,High-Resolution Headphones 17 | InnoGadgets,Discover the new High-Resolution Headphones 17 from InnoGadgets. Perfect for your needs.,"headphones, high-resolution, innogadgets, electronics"
SKU-0018,High-Resolution Smartphone 18,A high-quality smartphone with high-resolution features.,This is a detailed description for the new High-Resolution Smartphone 18 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,4,906.57,1062.6,714.83,827.59,1.23,46.26,17.43,8.08,Electronics > Audio,Audio,Electronics,Speakers,Headphones,,,Speakers,Headphones,,,1,0,public,VEND002,High-Resolution Smartphone 18 | TechCorp,Discover the new High-Resolution Smartphone 18 from TechCorp. Perfect for your needs.,"smartphone, high-resolution, techcorp, electronics"
SKU-0019,Waterproof Monitor 19,A high-quality monitor with waterproof features.,This is a detailed description for the new Waterproof Monitor 19 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,66,493.47,576.56,392.37,438.88,3.59,18.86,26.85,1.03,Electronics > Gaming,Gaming,Electronics,PC Gaming,PC Gaming,,,PC Gaming,PC Gaming,,,1,1,public,VEND003,Waterproof Monitor 19 | ElectroWorks,Discover the new Waterproof Monitor 19 from ElectroWorks. Perfect for your needs.,"monitor, waterproof, electroworks, electronics"
SKU-0020,Portable Smartphone 20,A high-quality smartphone with portable features.,This is a detailed description for the new Portable Smartphone 20 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,150,1118.01,1215.82,827.29,1040.83,1.61,24.21,25.3,5.45,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Laptops,Laptops,Monitors,,Laptops,Laptops,Monitors,,1,0,public,VEND002,Portable Smartphone 20 | DigitalPrime,Discover the new Portable Smartphone 20 from DigitalPrime. Perfect for your needs.,"smartphone, portable, digitalprime, electronics"
SKU-0021,Noise-Cancelling Tablet 21,A high-quality tablet with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Tablet 21 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,26,1202.39,1413.3,832.36,1095.22,1.91,26.5,30.73,12.8,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Laptops,Tablets,Tablets,,Laptops,Tablets,Tablets,,1,1,public,VEND003,Noise-Cancelling Tablet 21 | InnoGadgets,Discover the new Noise-Cancelling Tablet 21 from InnoGadgets. Perfect for your needs.,"tablet, noise-cancelling, innogadgets, electronics"
SKU-0022,Noise-Cancelling Gaming Console 22,A high-quality gaming console with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Gaming Console 22 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,4,788.17,903.17,482.29,734.19,1.39,44.29,5.79,4.5,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,,1,0,public,VEND004,Noise-Cancelling Gaming Console 22 | GlobalTech,Discover the new Noise-Cancelling Gaming Console 22 from GlobalTech. Perfect for your needs.,"gaming console, noise-cancelling, globaltech, electronics"
SKU-0023,Ergonomic Camera 23,A high-quality camera with ergonomic features.,This is a detailed description for the new Ergonomic Camera 23 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,68,1823.33,2003.85,1454.88,1605.0,0.76,33.29,26.18,1.63,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Monitors,Laptops,Monitors,,Monitors,Laptops,Monitors,,0,1,private,VEND004,Ergonomic Camera 23 | TechCorp,Discover the new Ergonomic Camera 23 from TechCorp. Perfect for your needs.,"camera, ergonomic, techcorp, electronics"
SKU-0024,Noise-Cancelling Headphones 24,A high-quality headphones with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Headphones 24 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,118,205.82,237.36,129.05,175.84,2.07,19.93,28.87,7.04,Electronics > Gaming,Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,,1,1,public,VEND003,Noise-Cancelling Headphones 24 | DigitalPrime,Discover the new Noise-Cancelling Headphones 24 from DigitalPrime. Perfect for your needs.,"headphones, noise-cancelling, digitalprime, electronics"
SKU-0025,Sleek Gaming Console 25,A high-quality gaming console with sleek features.,This is a detailed description for the new Sleek Gaming Console 25 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,105,1753.43,1856.01,1192.31,1586.78,2.47,25.95,7.65,10.48,Electronics > Gaming,Gaming,Electronics,PC Gaming,PC Gaming,,,PC Gaming,PC Gaming,,,1,0,public,VEND001,Sleek Gaming Console 25 | ElectroWorks,Discover the new Sleek Gaming Console 25 from ElectroWorks. Perfect for your needs.,"gaming console, sleek, electroworks, electronics"
SKU-0026,Wireless E-Reader 26,A high-quality e-reader with wireless features.,This is a detailed description for the new Wireless E-Reader 26 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,140,1835.58,1930.79,1381.44,1595.02,2.26,18.88,11.75,2.89,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Laptops,Laptops,Monitors,,Laptops,Laptops,Monitors,,0,0,private,VEND005,Wireless E-Reader 26 | DigitalPrime,Discover the new Wireless E-Reader 26 from DigitalPrime. Perfect for your needs.,"e-reader, wireless, digitalprime, electronics"
SKU-0027,Ultra-Fast Monitor 27,A high-quality monitor with ultra-fast features.,This is a detailed description for the new Ultra-Fast Monitor 27 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,102,1411.3,1500.37,961.03,1278.78,4.03,5.25,34.5,6.55,Electronics > Audio,Audio,Electronics,Speakers,Speakers,,,Speakers,Speakers,,,0,0,private,VEND002,Ultra-Fast Monitor 27 | ElectroWorks,Discover the new Ultra-Fast Monitor 27 from ElectroWorks. Perfect for your needs.,"monitor, ultra-fast, electroworks, electronics"
SKU-0028,Sleek Tablet 28,A high-quality tablet with sleek features.,This is a detailed description for the new Sleek Tablet 28 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,35,560.6,627.62,341.48,491.44,4.47,21.37,12.27,14.86,Electronics > Wearable Technology,Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,,1,1,public,VEND003,Sleek Tablet 28 | DigitalPrime,Discover the new Sleek Tablet 28 from DigitalPrime. Perfect for your needs.,"tablet, sleek, digitalprime, electronics"
SKU-0029,Ergonomic Camera 29,A high-quality camera with ergonomic features.,This is a detailed description for the new Ergonomic Camera 29 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,54,799.8,844.86,525.55,719.0,4.13,33.67,8.6,6.29,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Monitors,Tablets,Laptops,,Monitors,Tablets,Laptops,,1,1,public,VEND003,Ergonomic Camera 29 | GlobalTech,Discover the new Ergonomic Camera 29 from GlobalTech. Perfect for your needs.,"camera, ergonomic, globaltech, electronics"
SKU-0030,Ultra-Fast Laptop 30,A high-quality laptop with ultra-fast features.,This is a detailed description for the new Ultra-Fast Laptop 30 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,4,1836.36,2107.59,1207.61,1566.57,4.62,31.76,31.29,4.68,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Tablets,Tablets,Laptops,,Tablets,Tablets,Laptops,,1,0,public,VEND001,Ultra-Fast Laptop 30 | ElectroWorks,Discover the new Ultra-Fast Laptop 30 from ElectroWorks. Perfect for your needs.,"laptop, ultra-fast, electroworks, electronics"
SKU-0031,Professional Drone 31,A high-quality drone with professional features.,This is a detailed description for the new Professional Drone 31 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,107,483.02,544.09,385.45,434.77,3.89,40.92,19.4,10.99,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Digital Cameras,Digital Cameras,,,Digital Cameras,Digital Cameras,,,1,0,public,VEND003,Professional Drone 31 | TechCorp,Discover the new Professional Drone 31 from TechCorp. Perfect for your needs.,"drone, professional, techcorp, electronics"
SKU-0032,Noise-Cancelling Tablet 32,A high-quality tablet with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Tablet 32 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,39,601.52,708.4,418.78,526.36,0.68,43.7,39.94,4.09,Electronics > Wearable Technology,Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,,1,0,public,VEND005,Noise-Cancelling Tablet 32 | GlobalTech,Discover the new Noise-Cancelling Tablet 32 from GlobalTech. Perfect for your needs.,"tablet, noise-cancelling, globaltech, electronics"
SKU-0033,High-Resolution Smartphone 33,A high-quality smartphone with high-resolution features.,This is a detailed description for the new High-Resolution Smartphone 33 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,78,1614.02,1768.83,1113.06,1418.33,4.58,38.29,12.4,7.53,Electronics > Gaming,Gaming,Electronics,Consoles,PC Gaming,,,Consoles,PC Gaming,,,0,0,private,VEND004,High-Resolution Smartphone 33 | InnoGadgets,Discover the new High-Resolution Smartphone 33 from InnoGadgets. Perfect for your needs.,"smartphone, high-resolution, innogadgets, electronics"
SKU-0034,Ergonomic Smartphone 34,A high-quality smartphone with ergonomic features.,This is a detailed description for the new Ergonomic Smartphone 34 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,130,1598.66,1734.13,1215.85,1502.04,4.36,37.47,39.91,4.65,Electronics > Audio,Audio,Electronics,Speakers,Headphones,,,Speakers,Headphones,,,1,1,public,VEND005,Ergonomic Smartphone 34 | DigitalPrime,Discover the new Ergonomic Smartphone 34 from DigitalPrime. Perfect for your needs.,"smartphone, ergonomic, digitalprime, electronics"
SKU-0035,Lightweight Drone 35,A high-quality drone with lightweight features.,This is a detailed description for the new Lightweight Drone 35 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,79,1183.92,1383.53,859.62,1105.14,2.37,34.32,16.61,8.71,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,,0,0,private,VEND002,Lightweight Drone 35 | InnoGadgets,Discover the new Lightweight Drone 35 from InnoGadgets. Perfect for your needs.,"drone, lightweight, innogadgets, electronics"
SKU-0036,Ultra-Fast Laptop 36,A high-quality laptop with ultra-fast features.,This is a detailed description for the new Ultra-Fast Laptop 36 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,21,1833.91,2127.18,1188.42,1637.17,0.91,25.33,5.19,10.71,Electronics > Gaming,Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,,0,0,private,VEND004,Ultra-Fast Laptop 36 | InnoGadgets,Discover the new Ultra-Fast Laptop 36 from InnoGadgets. Perfect for your needs.,"laptop, ultra-fast, innogadgets, electronics"
SKU-0037,Lightweight Smartphone 37,A high-quality smartphone with lightweight features.,This is a detailed description for the new Lightweight Smartphone 37 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,137,223.77,261.29,178.16,191.17,4.01,36.01,36.12,8.92,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Digital Cameras,Digital Cameras,,,Digital Cameras,Digital Cameras,,,1,1,public,VEND003,Lightweight Smartphone 37 | TechCorp,Discover the new Lightweight Smartphone 37 from TechCorp. Perfect for your needs.,"smartphone, lightweight, techcorp, electronics"
SKU-0038,Portable Laptop 38,A high-quality laptop with portable features.,This is a detailed description for the new Portable Laptop 38 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,20,909.27,1006.25,704.5,840.57,3.42,48.04,10.78,13.34,Electronics > Wearable Technology,Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,,0,1,private,VEND002,Portable Laptop 38 | TechCorp,Discover the new Portable Laptop 38 from TechCorp. Perfect for your needs.,"laptop, portable, techcorp, electronics"
SKU-0039,Noise-Cancelling Laptop 39,A high-quality laptop with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Laptop 39 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,105,935.35,1047.09,592.36,843.41,0.86,15.11,29.54,2.83,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Digital Cameras,Drones,,,Digital Cameras,Drones,,,1,1,public,VEND004,Noise-Cancelling Laptop 39 | InnoGadgets,Discover the new Noise-Cancelling Laptop 39 from InnoGadgets. Perfect for your needs.,"laptop, noise-cancelling, innogadgets, electronics"
SKU-0040,Ultra-Fast Headphones 40,A high-quality headphones with ultra-fast features.,This is a detailed description for the new Ultra-Fast Headphones 40 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,51,586.26,646.55,438.82,523.27,2.7,5.17,38.63,12.17,Electronics > Audio,Audio,Electronics,Headphones,Headphones,,,Headphones,Headphones,,,0,0,private,VEND003,Ultra-Fast Headphones 40 | GlobalTech,Discover the new Ultra-Fast Headphones 40 from GlobalTech. Perfect for your needs.,"headphones, ultra-fast, globaltech, electronics"
SKU-0041,High-Resolution Headphones 41,A high-quality headphones with high-resolution features.,This is a detailed description for the new High-Resolution Headphones 41 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,112,415.16,485.49,304.34,365.72,4.01,31.16,18.85,8.17,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Digital Cameras,Digital Cameras,,,Digital Cameras,Digital Cameras,,,0,0,private,VEND002,High-Resolution Headphones 41 | DigitalPrime,Discover the new High-Resolution Headphones 41 from DigitalPrime. Perfect for your needs.,"headphones, high-resolution, digitalprime, electronics"
SKU-0042,High-Resolution Monitor 42,A high-quality monitor with high-resolution features.,This is a detailed description for the new High-Resolution Monitor 42 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,78,931.52,1040.54,647.03,816.65,3.88,20.87,35.32,3.3,Electronics > Wearable Technology,Wearable Technology,Electronics,Smartwatches,Smartwatches,,,Smartwatches,Smartwatches,,,1,0,public,VEND004,High-Resolution Monitor 42 | ElectroWorks,Discover the new High-Resolution Monitor 42 from ElectroWorks. Perfect for your needs.,"monitor, high-resolution, electroworks, electronics"
SKU-0043,Waterproof Smartwatch 43,A high-quality smartwatch with waterproof features.,This is a detailed description for the new Waterproof Smartwatch 43 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,87,1737.19,1893.89,1125.87,1504.38,3.02,39.6,7.17,12.44,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Tablets,Monitors,Monitors,,Tablets,Monitors,Monitors,,0,0,private,VEND005,Waterproof Smartwatch 43 | TechCorp,Discover the new Waterproof Smartwatch 43 from TechCorp. Perfect for your needs.,"smartwatch, waterproof, techcorp, electronics"
SKU-0044,Wireless Smartwatch 44,A high-quality smartwatch with wireless features.,This is a detailed description for the new Wireless Smartwatch 44 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,96,335.1,380.88,210.63,293.17,0.49,33.06,10.59,9.25,Electronics > Wearable Technology,Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,,1,0,public,VEND002,Wireless Smartwatch 44 | TechCorp,Discover the new Wireless Smartwatch 44 from TechCorp. Perfect for your needs.,"smartwatch, wireless, techcorp, electronics"
SKU-0045,Waterproof Smartwatch 45,A high-quality smartwatch with waterproof features.,This is a detailed description for the new Waterproof Smartwatch 45 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,22,789.28,944.75,535.96,691.27,3.37,39.88,7.12,5.01,Electronics > Audio,Audio,Electronics,Speakers,Speakers,,,Speakers,Speakers,,,1,0,public,VEND001,Waterproof Smartwatch 45 | DigitalPrime,Discover the new Waterproof Smartwatch 45 from DigitalPrime. Perfect for your needs.,"smartwatch, waterproof, digitalprime, electronics"
SKU-0046,Ergonomic Tablet 46,A high-quality tablet with ergonomic features.,This is a detailed description for the new Ergonomic Tablet 46 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,8,1900.14,2099.3,1187.43,1771.76,3.68,45.94,10.96,2.75,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Digital Cameras,,,Drones,Digital Cameras,,,1,0,public,VEND004,Ergonomic Tablet 46 | GlobalTech,Discover the new Ergonomic Tablet 46 from GlobalTech. Perfect for your needs.,"tablet, ergonomic, globaltech, electronics"
SKU-0047,Professional Tablet 47,A high-quality tablet with professional features.,This is a detailed description for the new Professional Tablet 47 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,23,113.58,121.78,85.5,99.41,4.86,21.42,25.77,7.71,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Digital Cameras,Drones,,,Digital Cameras,Drones,,,0,0,private,VEND002,Professional Tablet 47 | TechCorp,Discover the new Professional Tablet 47 from TechCorp. Perfect for your needs.,"tablet, professional, techcorp, electronics"
SKU-0048,Professional Gaming Console 48,A high-quality gaming console with professional features.,This is a detailed description for the new Professional Gaming Console 48 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,65,1867.39,2213.91,1349.91,1712.83,1.69,31.31,12.91,10.43,Electronics > Wearable Technology,Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,,1,0,public,VEND005,Professional Gaming Console 48 | GlobalTech,Discover the new Professional Gaming Console 48 from GlobalTech. Perfect for your needs.,"gaming console, professional, globaltech, electronics"
SKU-0049,Ultra-Fast Monitor 49,A high-quality monitor with ultra-fast features.,This is a detailed description for the new Ultra-Fast Monitor 49 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,26,1875.54,2203.81,1174.21,1734.69,2.26,38.81,6.81,11.61,Electronics > Wearable Technology,Wearable Technology,Electronics,Smartwatches,Fitness Trackers,,,Smartwatches,Fitness Trackers,,,0,1,private,VEND004,Ultra-Fast Monitor 49 | InnoGadgets,Discover the new Ultra-Fast Monitor 49 from InnoGadgets. Perfect for your needs.,"monitor, ultra-fast, innogadgets, electronics"
